seed,ROI_i,ROI_j,mean_abs_shap,median_shap,std_shap,iqr_shap
29,ROI_46,ROI_32,0.0,0.0,0.0,0.0
29,ROI_46,ROI_33,0.0,0.0,0.0,0.0
29,ROI_46,ROI_34,0.0,0.0,0.0,0.0
29,ROI_46,ROI_35,0.0,0.0,0.0,0.0
29,ROI_46,ROI_36,0.0,0.0,0.0,0.0
29,ROI_46,ROI_37,0.0,0.0,0.0,0.0
29,ROI_46,ROI_38,0.0,0.0,0.0,0.0
29,ROI_46,ROI_39,0.0,0.0,0.0,0.0
29,ROI_46,ROI_40,0.0,0.0,0.0,0.0
29,ROI_46,ROI_41,0.0,0.0,0.0,0.0
29,ROI_46,ROI_42,0.0,0.0,0.0,0.0
29,ROI_46,ROI_43,0.0,0.0,0.0,0.0
29,ROI_46,ROI_44,0.0,0.0,0.0,0.0
29,ROI_46,ROI_45,0.0,0.0,0.0,0.0
29,ROI_46,ROI_46,0.0,0.0,0.0,0.0
29,ROI_46,ROI_47,0.0,0.0,0.0,0.0
29,ROI_45,ROI_19,0.0,0.0,0.0,0.0
29,ROI_45,ROI_18,0.0,0.0,0.0,0.0
29,ROI_45,ROI_17,0.0,0.0,0.0,0.0
29,ROI_44,ROI_1,0.0,0.0,0.0,0.0
29,ROI_43,ROI_51,0.0,0.0,0.0,0.0
29,ROI_43,ROI_52,0.0,0.0,0.0,0.0
29,ROI_43,ROI_53,0.0,0.0,0.0,0.0
29,ROI_43,ROI_54,0.0,0.0,0.0,0.0
29,ROI_43,ROI_55,0.0,0.0,0.0,0.0
29,ROI_40,ROI_42,0.0,0.0,0.0,0.0
29,ROI_43,ROI_57,0.0,0.0,0.0,0.0
29,ROI_43,ROI_58,0.0,0.0,0.0,0.0
29,ROI_43,ROI_59,0.0,0.0,0.0,0.0
29,ROI_43,ROI_60,0.0,0.0,0.0,0.0
29,ROI_43,ROI_61,0.0,0.0,0.0,0.0
29,ROI_43,ROI_62,0.0,0.0,0.0,0.0
29,ROI_44,ROI_2,0.0,0.0,0.0,0.0
29,ROI_44,ROI_16,0.0,0.0,0.0,0.0
29,ROI_44,ROI_3,0.0,0.0,0.0,0.0
29,ROI_44,ROI_4,0.0,0.0,0.0,0.0
29,ROI_44,ROI_5,0.0,0.0,0.0,0.0
29,ROI_44,ROI_6,0.0,0.0,0.0,0.0
29,ROI_44,ROI_7,0.0,0.0,0.0,0.0
29,ROI_44,ROI_8,0.0,0.0,0.0,0.0
29,ROI_44,ROI_9,0.0,0.0,0.0,0.0
29,ROI_44,ROI_10,0.0,0.0,0.0,0.0
29,ROI_44,ROI_11,0.0,0.0,0.0,0.0
29,ROI_44,ROI_12,0.0,0.0,0.0,0.0
29,ROI_44,ROI_13,0.0,0.0,0.0,0.0
29,ROI_44,ROI_14,0.0,0.0,0.0,0.0
29,ROI_43,ROI_50,0.0,0.0,0.0,0.0
29,ROI_43,ROI_49,0.0,0.0,0.0,0.0
29,ROI_43,ROI_47,0.0,0.0,0.0,0.0
29,ROI_43,ROI_46,0.0,0.0,0.0,0.0
29,ROI_43,ROI_21,0.0,0.0,0.0,0.0
29,ROI_43,ROI_22,0.0,0.0,0.0,0.0
29,ROI_43,ROI_23,0.0,0.0,0.0,0.0
29,ROI_43,ROI_24,0.0,0.0,0.0,0.0
29,ROI_43,ROI_25,0.0,0.0,0.0,0.0
29,ROI_43,ROI_26,0.0,0.0,0.0,0.0
29,ROI_43,ROI_27,0.0,0.0,0.0,0.0
29,ROI_43,ROI_28,0.0,0.0,0.0,0.0
29,ROI_43,ROI_29,0.0,0.0,0.0,0.0
29,ROI_43,ROI_30,0.0,0.0,0.0,0.0
29,ROI_43,ROI_31,0.0,0.0,0.0,0.0
29,ROI_43,ROI_32,0.0,0.0,0.0,0.0
29,ROI_43,ROI_33,0.0,0.0,0.0,0.0
29,ROI_43,ROI_34,0.0,0.0,0.0,0.0
29,ROI_43,ROI_35,0.0,0.0,0.0,0.0
29,ROI_43,ROI_36,0.0,0.0,0.0,0.0
29,ROI_43,ROI_37,0.0,0.0,0.0,0.0
29,ROI_43,ROI_38,0.0,0.0,0.0,0.0
29,ROI_43,ROI_39,0.0,0.0,0.0,0.0
29,ROI_43,ROI_40,0.0,0.0,0.0,0.0
29,ROI_43,ROI_41,0.0,0.0,0.0,0.0
29,ROI_43,ROI_42,0.0,0.0,0.0,0.0
29,ROI_43,ROI_43,0.0,0.0,0.0,0.0
29,ROI_43,ROI_44,0.0,0.0,0.0,0.0
29,ROI_43,ROI_45,0.0,0.0,0.0,0.0
29,ROI_44,ROI_15,0.0,0.0,0.0,0.0
29,ROI_44,ROI_17,0.0,0.0,0.0,0.0
29,ROI_45,ROI_16,0.0,0.0,0.0,0.0
29,ROI_45,ROI_2,0.0,0.0,0.0,0.0
29,ROI_44,ROI_51,0.0,0.0,0.0,0.0
29,ROI_44,ROI_52,0.0,0.0,0.0,0.0
29,ROI_44,ROI_53,0.0,0.0,0.0,0.0
29,ROI_44,ROI_54,0.0,0.0,0.0,0.0
29,ROI_44,ROI_55,0.0,0.0,0.0,0.0
29,ROI_44,ROI_57,0.0,0.0,0.0,0.0
29,ROI_44,ROI_58,0.0,0.0,0.0,0.0
29,ROI_44,ROI_59,0.0,0.0,0.0,0.0
29,ROI_44,ROI_60,0.0,0.0,0.0,0.0
29,ROI_44,ROI_61,0.0,0.0,0.0,0.0
29,ROI_44,ROI_62,0.0,0.0,0.0,0.0
29,ROI_45,ROI_1,0.0,0.0,0.0,0.0
29,ROI_45,ROI_3,0.0,0.0,0.0,0.0
29,ROI_44,ROI_18,0.0,0.0,0.0,0.0
29,ROI_45,ROI_4,0.0,0.0,0.0,0.0
29,ROI_45,ROI_5,0.0,0.0,0.0,0.0
29,ROI_45,ROI_6,0.0,0.0,0.0,0.0
29,ROI_45,ROI_7,0.0,0.0,0.0,0.0
29,ROI_45,ROI_8,0.0,0.0,0.0,0.0
29,ROI_45,ROI_9,0.0,0.0,0.0,0.0
29,ROI_45,ROI_10,0.0,0.0,0.0,0.0
29,ROI_45,ROI_11,0.0,0.0,0.0,0.0
29,ROI_45,ROI_12,0.0,0.0,0.0,0.0
29,ROI_45,ROI_13,0.0,0.0,0.0,0.0
29,ROI_45,ROI_14,0.0,0.0,0.0,0.0
29,ROI_45,ROI_15,0.0,0.0,0.0,0.0
29,ROI_44,ROI_48,0.0,0.0,0.0,0.0
29,ROI_44,ROI_47,0.0,0.0,0.0,0.0
29,ROI_44,ROI_46,0.0,0.0,0.0,0.0
29,ROI_44,ROI_45,0.0,0.0,0.0,0.0
29,ROI_44,ROI_19,0.0,0.0,0.0,0.0
29,ROI_44,ROI_20,0.0,0.0,0.0,0.0
29,ROI_44,ROI_21,0.0,0.0,0.0,0.0
29,ROI_44,ROI_22,0.0,0.0,0.0,0.0
29,ROI_44,ROI_23,0.0,0.0,0.0,0.0
29,ROI_44,ROI_25,0.0,0.0,0.0,0.0
29,ROI_44,ROI_26,0.0,0.0,0.0,0.0
29,ROI_44,ROI_27,0.0,0.0,0.0,0.0
29,ROI_44,ROI_28,0.0,0.0,0.0,0.0
29,ROI_44,ROI_29,0.0,0.0,0.0,0.0
29,ROI_44,ROI_30,0.0,0.0,0.0,0.0
29,ROI_44,ROI_31,0.0,0.0,0.0,0.0
29,ROI_44,ROI_32,0.0,0.0,0.0,0.0
29,ROI_44,ROI_33,0.0,0.0,0.0,0.0
29,ROI_44,ROI_34,0.0,0.0,0.0,0.0
29,ROI_44,ROI_35,0.0,0.0,0.0,0.0
29,ROI_44,ROI_36,0.0,0.0,0.0,0.0
29,ROI_44,ROI_37,0.0,0.0,0.0,0.0
29,ROI_44,ROI_38,0.0,0.0,0.0,0.0
29,ROI_44,ROI_39,0.0,0.0,0.0,0.0
29,ROI_44,ROI_40,0.0,0.0,0.0,0.0
29,ROI_44,ROI_41,0.0,0.0,0.0,0.0
29,ROI_44,ROI_42,0.0,0.0,0.0,0.0
29,ROI_44,ROI_43,0.0,0.0,0.0,0.0
29,ROI_44,ROI_44,0.0,0.0,0.0,0.0
29,ROI_40,ROI_43,0.0,0.0,0.0,0.0
29,ROI_1,ROI_1,0.0,0.0,0.0,0.0
29,ROI_40,ROI_41,0.0,0.0,0.0,0.0
29,ROI_35,ROI_30,0.0,0.0,0.0,0.0
29,ROI_35,ROI_18,0.0,0.0,0.0,0.0
29,ROI_35,ROI_19,0.0,0.0,0.0,0.0
29,ROI_35,ROI_20,0.0,0.0,0.0,0.0
29,ROI_35,ROI_21,0.0,0.0,0.0,0.0
29,ROI_35,ROI_22,0.0,0.0,0.0,0.0
29,ROI_35,ROI_23,0.0,0.0,0.0,0.0
29,ROI_35,ROI_24,0.0,0.0,0.0,0.0
29,ROI_35,ROI_25,0.0,0.0,0.0,0.0
29,ROI_35,ROI_26,0.0,0.0,0.0,0.0
29,ROI_35,ROI_27,0.0,0.0,0.0,0.0
29,ROI_35,ROI_28,0.0,0.0,0.0,0.0
29,ROI_35,ROI_29,0.0,0.0,0.0,0.0
29,ROI_35,ROI_31,0.0,0.0,0.0,0.0
29,ROI_40,ROI_40,0.0,0.0,0.0,0.0
29,ROI_35,ROI_32,0.0,0.0,0.0,0.0
29,ROI_35,ROI_33,0.0,0.0,0.0,0.0
29,ROI_35,ROI_34,0.0,0.0,0.0,0.0
29,ROI_35,ROI_35,0.0,0.0,0.0,0.0
29,ROI_35,ROI_36,0.0,0.0,0.0,0.0
29,ROI_35,ROI_37,0.0,0.0,0.0,0.0
29,ROI_35,ROI_38,0.0,0.0,0.0,0.0
29,ROI_35,ROI_39,0.0,0.0,0.0,0.0
29,ROI_35,ROI_40,0.0,0.0,0.0,0.0
29,ROI_35,ROI_41,0.0,0.0,0.0,0.0
29,ROI_35,ROI_42,0.0,0.0,0.0,0.0
29,ROI_35,ROI_43,0.0,0.0,0.0,0.0
29,ROI_35,ROI_17,0.0,0.0,0.0,0.0
29,ROI_35,ROI_16,0.0,0.0,0.0,0.0
29,ROI_35,ROI_15,0.0,0.0,0.0,0.0
29,ROI_35,ROI_14,0.0,0.0,0.0,0.0
29,ROI_34,ROI_50,0.0,0.0,0.0,0.0
29,ROI_34,ROI_51,0.0,0.0,0.0,0.0
29,ROI_34,ROI_52,0.0,0.0,0.0,0.0
29,ROI_34,ROI_53,0.0,0.0,0.0,0.0
29,ROI_34,ROI_54,0.0,0.0,0.0,0.0
29,ROI_34,ROI_55,0.0,0.0,0.0,0.0
29,ROI_34,ROI_56,0.0,0.0,0.0,0.0
29,ROI_34,ROI_57,0.0,0.0,0.0,0.0
29,ROI_34,ROI_58,0.0,0.0,0.0,0.0
29,ROI_34,ROI_59,0.0,0.0,0.0,0.0
29,ROI_34,ROI_60,0.0,0.0,0.0,0.0
29,ROI_34,ROI_62,0.0,0.0,0.0,0.0
29,ROI_35,ROI_1,0.0,0.0,0.0,0.0
29,ROI_35,ROI_2,0.0,0.0,0.0,0.0
29,ROI_35,ROI_3,0.0,0.0,0.0,0.0
29,ROI_35,ROI_4,0.0,0.0,0.0,0.0
29,ROI_35,ROI_5,0.0,0.0,0.0,0.0
29,ROI_35,ROI_6,0.0,0.0,0.0,0.0
29,ROI_35,ROI_7,0.0,0.0,0.0,0.0
29,ROI_35,ROI_8,0.0,0.0,0.0,0.0
29,ROI_35,ROI_9,0.0,0.0,0.0,0.0
29,ROI_35,ROI_10,0.0,0.0,0.0,0.0
29,ROI_35,ROI_11,0.0,0.0,0.0,0.0
29,ROI_35,ROI_12,0.0,0.0,0.0,0.0
29,ROI_35,ROI_13,0.0,0.0,0.0,0.0
29,ROI_35,ROI_44,0.0,0.0,0.0,0.0
29,ROI_35,ROI_45,0.0,0.0,0.0,0.0
29,ROI_35,ROI_46,0.0,0.0,0.0,0.0
29,ROI_36,ROI_15,0.0,0.0,0.0,0.0
29,ROI_36,ROI_17,0.0,0.0,0.0,0.0
29,ROI_36,ROI_18,0.0,0.0,0.0,0.0
29,ROI_36,ROI_19,0.0,0.0,0.0,0.0
29,ROI_36,ROI_20,0.0,0.0,0.0,0.0
29,ROI_36,ROI_21,0.0,0.0,0.0,0.0
29,ROI_36,ROI_22,0.0,0.0,0.0,0.0
29,ROI_36,ROI_23,0.0,0.0,0.0,0.0
29,ROI_36,ROI_24,0.0,0.0,0.0,0.0
29,ROI_36,ROI_25,0.0,0.0,0.0,0.0
29,ROI_36,ROI_26,0.0,0.0,0.0,0.0
29,ROI_36,ROI_27,0.0,0.0,0.0,0.0
29,ROI_36,ROI_28,0.0,0.0,0.0,0.0
29,ROI_36,ROI_29,0.0,0.0,0.0,0.0
29,ROI_36,ROI_30,0.0,0.0,0.0,0.0
29,ROI_36,ROI_32,0.0,0.0,0.0,0.0
29,ROI_36,ROI_33,0.0,0.0,0.0,0.0
29,ROI_36,ROI_34,0.0,0.0,0.0,0.0
29,ROI_36,ROI_35,0.0,0.0,0.0,0.0
29,ROI_36,ROI_36,0.0,0.0,0.0,0.0
29,ROI_36,ROI_37,0.0,0.0,0.0,0.0
29,ROI_36,ROI_38,0.0,0.0,0.0,0.0
29,ROI_36,ROI_39,0.0,0.0,0.0,0.0
29,ROI_36,ROI_40,0.0,0.0,0.0,0.0
29,ROI_36,ROI_41,0.0,0.0,0.0,0.0
29,ROI_36,ROI_42,0.0,0.0,0.0,0.0
29,ROI_36,ROI_16,0.0,0.0,0.0,0.0
29,ROI_36,ROI_14,0.0,0.0,0.0,0.0
29,ROI_35,ROI_47,0.0,0.0,0.0,0.0
29,ROI_36,ROI_13,0.0,0.0,0.0,0.0
29,ROI_35,ROI_48,0.0,0.0,0.0,0.0
29,ROI_35,ROI_49,0.0,0.0,0.0,0.0
29,ROI_35,ROI_50,0.0,0.0,0.0,0.0
29,ROI_35,ROI_51,0.0,0.0,0.0,0.0
29,ROI_35,ROI_52,0.0,0.0,0.0,0.0
29,ROI_35,ROI_53,0.0,0.0,0.0,0.0
29,ROI_35,ROI_54,0.0,0.0,0.0,0.0
29,ROI_35,ROI_55,0.0,0.0,0.0,0.0
29,ROI_35,ROI_56,0.0,0.0,0.0,0.0
29,ROI_35,ROI_57,0.0,0.0,0.0,0.0
29,ROI_35,ROI_58,0.0,0.0,0.0,0.0
29,ROI_35,ROI_59,0.0,0.0,0.0,0.0
29,ROI_35,ROI_60,0.0,0.0,0.0,0.0
29,ROI_35,ROI_61,0.0,0.0,0.0,0.0
29,ROI_35,ROI_62,0.0,0.0,0.0,0.0
29,ROI_36,ROI_1,0.0,0.0,0.0,0.0
29,ROI_36,ROI_2,0.0,0.0,0.0,0.0
29,ROI_36,ROI_3,0.0,0.0,0.0,0.0
29,ROI_36,ROI_4,0.0,0.0,0.0,0.0
29,ROI_36,ROI_5,0.0,0.0,0.0,0.0
29,ROI_36,ROI_6,0.0,0.0,0.0,0.0
29,ROI_36,ROI_8,0.0,0.0,0.0,0.0
29,ROI_36,ROI_9,0.0,0.0,0.0,0.0
29,ROI_36,ROI_11,0.0,0.0,0.0,0.0
29,ROI_36,ROI_12,0.0,0.0,0.0,0.0
29,ROI_34,ROI_49,0.0,0.0,0.0,0.0
29,ROI_34,ROI_48,0.0,0.0,0.0,0.0
29,ROI_34,ROI_47,0.0,0.0,0.0,0.0
29,ROI_33,ROI_21,0.0,0.0,0.0,0.0
29,ROI_33,ROI_23,0.0,0.0,0.0,0.0
29,ROI_33,ROI_24,0.0,0.0,0.0,0.0
29,ROI_33,ROI_25,0.0,0.0,0.0,0.0
29,ROI_33,ROI_26,0.0,0.0,0.0,0.0
29,ROI_33,ROI_27,0.0,0.0,0.0,0.0
29,ROI_33,ROI_28,0.0,0.0,0.0,0.0
29,ROI_33,ROI_29,0.0,0.0,0.0,0.0
29,ROI_33,ROI_30,0.0,0.0,0.0,0.0
29,ROI_33,ROI_31,0.0,0.0,0.0,0.0
29,ROI_33,ROI_32,0.0,0.0,0.0,0.0
29,ROI_33,ROI_33,0.0,0.0,0.0,0.0
29,ROI_33,ROI_34,0.0,0.0,0.0,0.0
29,ROI_33,ROI_36,0.0,0.0,0.0,0.0
29,ROI_33,ROI_37,0.0,0.0,0.0,0.0
29,ROI_33,ROI_38,0.0,0.0,0.0,0.0
29,ROI_33,ROI_39,0.0,0.0,0.0,0.0
29,ROI_33,ROI_40,0.0,0.0,0.0,0.0
29,ROI_33,ROI_41,0.0,0.0,0.0,0.0
29,ROI_33,ROI_42,0.0,0.0,0.0,0.0
29,ROI_33,ROI_43,0.0,0.0,0.0,0.0
29,ROI_33,ROI_44,0.0,0.0,0.0,0.0
29,ROI_33,ROI_45,0.0,0.0,0.0,0.0
29,ROI_33,ROI_46,0.0,0.0,0.0,0.0
29,ROI_33,ROI_47,0.0,0.0,0.0,0.0
29,ROI_33,ROI_48,0.0,0.0,0.0,0.0
29,ROI_33,ROI_22,0.0,0.0,0.0,0.0
29,ROI_33,ROI_20,0.0,0.0,0.0,0.0
29,ROI_33,ROI_50,0.0,0.0,0.0,0.0
29,ROI_33,ROI_19,0.0,0.0,0.0,0.0
29,ROI_32,ROI_55,0.0,0.0,0.0,0.0
29,ROI_32,ROI_56,0.0,0.0,0.0,0.0
29,ROI_32,ROI_57,0.0,0.0,0.0,0.0
29,ROI_32,ROI_59,0.0,0.0,0.0,0.0
29,ROI_32,ROI_60,0.0,0.0,0.0,0.0
29,ROI_32,ROI_61,0.0,0.0,0.0,0.0
29,ROI_32,ROI_62,0.0,0.0,0.0,0.0
29,ROI_33,ROI_1,0.0,0.0,0.0,0.0
29,ROI_33,ROI_2,0.0,0.0,0.0,0.0
29,ROI_33,ROI_3,0.0,0.0,0.0,0.0
29,ROI_33,ROI_4,0.0,0.0,0.0,0.0
29,ROI_33,ROI_5,0.0,0.0,0.0,0.0
29,ROI_33,ROI_6,0.0,0.0,0.0,0.0
29,ROI_33,ROI_7,0.0,0.0,0.0,0.0
29,ROI_33,ROI_8,0.0,0.0,0.0,0.0
29,ROI_33,ROI_9,0.0,0.0,0.0,0.0
29,ROI_33,ROI_10,0.0,0.0,0.0,0.0
29,ROI_33,ROI_11,0.0,0.0,0.0,0.0
29,ROI_33,ROI_12,0.0,0.0,0.0,0.0
29,ROI_33,ROI_13,0.0,0.0,0.0,0.0
29,ROI_33,ROI_14,0.0,0.0,0.0,0.0
29,ROI_33,ROI_15,0.0,0.0,0.0,0.0
29,ROI_33,ROI_16,0.0,0.0,0.0,0.0
29,ROI_33,ROI_17,0.0,0.0,0.0,0.0
29,ROI_33,ROI_18,0.0,0.0,0.0,0.0
29,ROI_33,ROI_49,0.0,0.0,0.0,0.0
29,ROI_33,ROI_51,0.0,0.0,0.0,0.0
29,ROI_34,ROI_46,0.0,0.0,0.0,0.0
29,ROI_34,ROI_18,0.0,0.0,0.0,0.0
29,ROI_34,ROI_20,0.0,0.0,0.0,0.0
29,ROI_34,ROI_21,0.0,0.0,0.0,0.0
29,ROI_34,ROI_22,0.0,0.0,0.0,0.0
29,ROI_34,ROI_23,0.0,0.0,0.0,0.0
29,ROI_34,ROI_24,0.0,0.0,0.0,0.0
29,ROI_34,ROI_25,0.0,0.0,0.0,0.0
29,ROI_34,ROI_26,0.0,0.0,0.0,0.0
29,ROI_34,ROI_27,0.0,0.0,0.0,0.0
29,ROI_34,ROI_28,0.0,0.0,0.0,0.0
29,ROI_34,ROI_29,0.0,0.0,0.0,0.0
29,ROI_34,ROI_30,0.0,0.0,0.0,0.0
29,ROI_34,ROI_31,0.0,0.0,0.0,0.0
29,ROI_34,ROI_32,0.0,0.0,0.0,0.0
29,ROI_34,ROI_33,0.0,0.0,0.0,0.0
29,ROI_34,ROI_34,0.0,0.0,0.0,0.0
29,ROI_34,ROI_35,0.0,0.0,0.0,0.0
29,ROI_34,ROI_36,0.0,0.0,0.0,0.0
29,ROI_34,ROI_37,0.0,0.0,0.0,0.0
29,ROI_34,ROI_38,0.0,0.0,0.0,0.0
29,ROI_34,ROI_39,0.0,0.0,0.0,0.0
29,ROI_34,ROI_40,0.0,0.0,0.0,0.0
29,ROI_34,ROI_41,0.0,0.0,0.0,0.0
29,ROI_34,ROI_42,0.0,0.0,0.0,0.0
29,ROI_34,ROI_43,0.0,0.0,0.0,0.0
29,ROI_34,ROI_45,0.0,0.0,0.0,0.0
29,ROI_34,ROI_19,0.0,0.0,0.0,0.0
29,ROI_34,ROI_17,0.0,0.0,0.0,0.0
29,ROI_33,ROI_52,0.0,0.0,0.0,0.0
29,ROI_34,ROI_16,0.0,0.0,0.0,0.0
29,ROI_33,ROI_53,0.0,0.0,0.0,0.0
29,ROI_33,ROI_54,0.0,0.0,0.0,0.0
29,ROI_33,ROI_55,0.0,0.0,0.0,0.0
29,ROI_33,ROI_56,0.0,0.0,0.0,0.0
29,ROI_33,ROI_57,0.0,0.0,0.0,0.0
29,ROI_33,ROI_58,0.0,0.0,0.0,0.0
29,ROI_33,ROI_59,0.0,0.0,0.0,0.0
29,ROI_33,ROI_60,0.0,0.0,0.0,0.0
29,ROI_33,ROI_61,0.0,0.0,0.0,0.0
29,ROI_33,ROI_62,0.0,0.0,0.0,0.0
29,ROI_34,ROI_1,0.0,0.0,0.0,0.0
29,ROI_34,ROI_2,0.0,0.0,0.0,0.0
29,ROI_34,ROI_3,0.0,0.0,0.0,0.0
29,ROI_34,ROI_4,0.0,0.0,0.0,0.0
29,ROI_34,ROI_5,0.0,0.0,0.0,0.0
29,ROI_34,ROI_6,0.0,0.0,0.0,0.0
29,ROI_34,ROI_7,0.0,0.0,0.0,0.0
29,ROI_34,ROI_8,0.0,0.0,0.0,0.0
29,ROI_34,ROI_9,0.0,0.0,0.0,0.0
29,ROI_34,ROI_10,0.0,0.0,0.0,0.0
29,ROI_34,ROI_11,0.0,0.0,0.0,0.0
29,ROI_34,ROI_12,0.0,0.0,0.0,0.0
29,ROI_34,ROI_13,0.0,0.0,0.0,0.0
29,ROI_34,ROI_14,0.0,0.0,0.0,0.0
29,ROI_34,ROI_15,0.0,0.0,0.0,0.0
29,ROI_36,ROI_43,0.0,0.0,0.0,0.0
29,ROI_36,ROI_44,0.0,0.0,0.0,0.0
29,ROI_36,ROI_45,0.0,0.0,0.0,0.0
29,ROI_39,ROI_11,0.0,0.0,0.0,0.0
29,ROI_39,ROI_14,0.0,0.0,0.0,0.0
29,ROI_39,ROI_15,0.0,0.0,0.0,0.0
29,ROI_39,ROI_16,0.0,0.0,0.0,0.0
29,ROI_39,ROI_17,0.0,0.0,0.0,0.0
29,ROI_39,ROI_18,0.0,0.0,0.0,0.0
29,ROI_39,ROI_19,0.0,0.0,0.0,0.0
29,ROI_39,ROI_20,0.0,0.0,0.0,0.0
29,ROI_39,ROI_21,0.0,0.0,0.0,0.0
29,ROI_39,ROI_22,0.0,0.0,0.0,0.0
29,ROI_39,ROI_23,0.0,0.0,0.0,0.0
29,ROI_39,ROI_24,0.0,0.0,0.0,0.0
29,ROI_39,ROI_25,0.0,0.0,0.0,0.0
29,ROI_39,ROI_26,0.0,0.0,0.0,0.0
29,ROI_39,ROI_27,0.0,0.0,0.0,0.0
29,ROI_39,ROI_28,0.0,0.0,0.0,0.0
29,ROI_39,ROI_29,0.0,0.0,0.0,0.0
29,ROI_39,ROI_30,0.0,0.0,0.0,0.0
29,ROI_39,ROI_32,0.0,0.0,0.0,0.0
29,ROI_39,ROI_33,0.0,0.0,0.0,0.0
29,ROI_39,ROI_34,0.0,0.0,0.0,0.0
29,ROI_39,ROI_35,0.0,0.0,0.0,0.0
29,ROI_39,ROI_36,0.0,0.0,0.0,0.0
29,ROI_39,ROI_37,0.0,0.0,0.0,0.0
29,ROI_39,ROI_38,0.0,0.0,0.0,0.0
29,ROI_39,ROI_39,0.0,0.0,0.0,0.0
29,ROI_39,ROI_12,0.0,0.0,0.0,0.0
29,ROI_39,ROI_10,0.0,0.0,0.0,0.0
29,ROI_39,ROI_41,0.0,0.0,0.0,0.0
29,ROI_39,ROI_9,0.0,0.0,0.0,0.0
29,ROI_38,ROI_44,0.0,0.0,0.0,0.0
29,ROI_38,ROI_45,0.0,0.0,0.0,0.0
29,ROI_38,ROI_46,0.0,0.0,0.0,0.0
29,ROI_38,ROI_47,0.0,0.0,0.0,0.0
29,ROI_38,ROI_48,0.0,0.0,0.0,0.0
29,ROI_38,ROI_49,0.0,0.0,0.0,0.0
29,ROI_38,ROI_50,0.0,0.0,0.0,0.0
29,ROI_38,ROI_51,0.0,0.0,0.0,0.0
29,ROI_38,ROI_52,0.0,0.0,0.0,0.0
29,ROI_38,ROI_53,0.0,0.0,0.0,0.0
29,ROI_38,ROI_54,0.0,0.0,0.0,0.0
29,ROI_38,ROI_55,0.0,0.0,0.0,0.0
29,ROI_38,ROI_56,0.0,0.0,0.0,0.0
29,ROI_38,ROI_57,0.0,0.0,0.0,0.0
29,ROI_38,ROI_58,0.0,0.0,0.0,0.0
29,ROI_38,ROI_59,0.0,0.0,0.0,0.0
29,ROI_38,ROI_60,0.0,0.0,0.0,0.0
29,ROI_38,ROI_61,0.0,0.0,0.0,0.0
29,ROI_38,ROI_62,0.0,0.0,0.0,0.0
29,ROI_39,ROI_1,0.0,0.0,0.0,0.0
29,ROI_39,ROI_2,0.0,0.0,0.0,0.0
29,ROI_39,ROI_3,0.0,0.0,0.0,0.0
29,ROI_39,ROI_4,0.0,0.0,0.0,0.0
29,ROI_39,ROI_5,0.0,0.0,0.0,0.0
29,ROI_39,ROI_6,0.0,0.0,0.0,0.0
29,ROI_39,ROI_40,0.0,0.0,0.0,0.0
29,ROI_39,ROI_42,0.0,0.0,0.0,0.0
29,ROI_38,ROI_42,0.0,0.0,0.0,0.0
29,ROI_40,ROI_10,0.0,0.0,0.0,0.0
29,ROI_40,ROI_12,0.0,0.0,0.0,0.0
29,ROI_40,ROI_13,0.0,0.0,0.0,0.0
29,ROI_40,ROI_15,0.0,0.0,0.0,0.0
29,ROI_40,ROI_16,0.0,0.0,0.0,0.0
29,ROI_40,ROI_17,0.0,0.0,0.0,0.0
29,ROI_40,ROI_18,0.0,0.0,0.0,0.0
29,ROI_40,ROI_19,0.0,0.0,0.0,0.0
29,ROI_40,ROI_20,0.0,0.0,0.0,0.0
29,ROI_40,ROI_21,0.0,0.0,0.0,0.0
29,ROI_40,ROI_22,0.0,0.0,0.0,0.0
29,ROI_40,ROI_23,0.0,0.0,0.0,0.0
29,ROI_40,ROI_24,0.0,0.0,0.0,0.0
29,ROI_40,ROI_25,0.0,0.0,0.0,0.0
29,ROI_40,ROI_26,0.0,0.0,0.0,0.0
29,ROI_40,ROI_27,0.0,0.0,0.0,0.0
29,ROI_40,ROI_28,0.0,0.0,0.0,0.0
29,ROI_40,ROI_29,0.0,0.0,0.0,0.0
29,ROI_40,ROI_30,0.0,0.0,0.0,0.0
29,ROI_40,ROI_31,0.0,0.0,0.0,0.0
29,ROI_40,ROI_33,0.0,0.0,0.0,0.0
29,ROI_40,ROI_34,0.0,0.0,0.0,0.0
29,ROI_40,ROI_35,0.0,0.0,0.0,0.0
29,ROI_40,ROI_36,0.0,0.0,0.0,0.0
29,ROI_40,ROI_37,0.0,0.0,0.0,0.0
29,ROI_40,ROI_38,0.0,0.0,0.0,0.0
29,ROI_40,ROI_11,0.0,0.0,0.0,0.0
29,ROI_40,ROI_9,0.0,0.0,0.0,0.0
29,ROI_39,ROI_43,0.0,0.0,0.0,0.0
29,ROI_40,ROI_7,0.0,0.0,0.0,0.0
29,ROI_39,ROI_44,0.0,0.0,0.0,0.0
29,ROI_39,ROI_45,0.0,0.0,0.0,0.0
29,ROI_39,ROI_46,0.0,0.0,0.0,0.0
29,ROI_39,ROI_47,0.0,0.0,0.0,0.0
29,ROI_39,ROI_48,0.0,0.0,0.0,0.0
29,ROI_39,ROI_49,0.0,0.0,0.0,0.0
29,ROI_39,ROI_50,0.0,0.0,0.0,0.0
